					
	Korean	Definition	English	Context	Hashtags
	빤	1.시선을 한곳으로 모아 집중해서 뚫어지게 바라보다 2.깊이 살피다	GAZE STARE		#작은모션
	빤짝	사람 또는 물건이 화려하고 예쁘장한 모양	SPARKLE FLASH GLIMMER DAZZLE (BLING)		#느낌
	빼꼼	살며시 문 따위를 아주 조금 열어 들여다보는 모양	PEEK PEEP		#작은모션 #조용함
	뻑	단단한 물건으로 다른 사람이나 사물을 칠 때 나는 탁한 소리	THWACK POW  THUD SMACK		#타격 #소리
	뻥긋	문이나 입을 소리 없이 조금 크고 세게 열거나 벌리는 모양을 나타내는 말	MOUTHING		#얼굴 #입
	뽀드득	쌓인 눈을 세게 밟을 때 나는 소리	CRUNCH SLOSH		#모션 #소리
	뾰로통	못마땅하여 성난 빛이 역력하다	TWITCH SEETHE PEEVED		#표정 #감정 #화남
	뾰루퉁	부풀거나 부어올라서 뿔룩하다	POUT FROWN		#얼굴 #입 #표정
	뿌드득	질기고 빳빳한 물건이 갑자기 세게 째어지거나 갈라질 때 나는 소리	CRACK SNAP		#부서짐 #큰소리
	뿌득	세게 문지르거나 마주 갈 때 나는 소리를 나타내는 말	SQUEEZE CLENCH (GRAB)		#타격 #소리
	뿌득	질기고 빳빳한 물건이 갑자기 세게 째어지거나 갈라질 때 나는 소리	CRACK SNAP		#부서짐 #큰소리
	삐걱	편안하지 못하고 행동이 어색하다	AWKWARD NERVOUS		#모션
	삐비빅	전자 기기 따위에서 입력 신호에 따라 짧게 나는 소리	DADADA BEEBEEP		#소리 #큰소리
	삐용	신호나 경보 따위를 알리기 위해 소리를 내다	WEE-WOO		#소리 #큰소리
	삐이	귀에 잡음이 들리는 현상	WEEE WHEEE BEEEE (RING)		#소리
	삐질	매우 난처하거나 어려운 상황에 땀을 흘리는 모양	SULK		#감정 #느낌
	삐짐	노여움에 마음이 토라지다	TWITCH SEETHE PEEVED		#표정 #감정 #화남
	삑	전자 기기 따위에서 입력 신호에 따라 짧게 나는 소리	BEEP		#소리
	사각	글씨나 그림을 쓰거나 그리다	SCRIBBLE SCRAWL SCRITCH SCRATCH		#소리
	사락	1.가볍게 내리는 소리가 잇따라 나다 2.가볍게 쓸리게 하거나 맞닿게 하는 소리를 자꾸 내다	SWISH FWIP		#머리(head)
	사르륵	얼음이나 눈 따위가 저절로 녹는 모양	MELT		#느낌 #상태
	사아아	푸른 기가 돌 만큼 핏기가 없다	PALE GLOOM GAUNT		#감정
	살금	눈치를 보아 가며 남들이 모르게 슬그머니 어떤 행동을 자꾸 하는 모양을 나타내는 말	CRAWL (ON THE GROUND) CREEP SNEAK TIPTOE		#작은모션 #행동
	새근	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	색색	사람이나 동물이 깊이 잠든 상태에서 코를 골듯이 크게 숨쉬는 소리	SNOOZE BREATHE ZZZZ		#호흡 #모습
	샤라라	사람 또는 물건이 화려하고 예쁘장한 모양	TWINKLE TA-DA DAZZLE		#느낌
	샤라랑	사람 또는 물건이 화려하고 예쁘장한 모양	SPARKLE FLASH GLIMMER DAZZLE (BLING)		#느낌
	샤방	사람 또는 물건이 화려하고 예쁘장한 모양	SPARKLE FLASH GLIMMER DAZZLE (BLING)		#느낌
	샤샥	1. 몸을 재빠르게 움직이거나 숨기는 소리 2. 자꾸 밀거나 쓸거나 문지르는 소리	RUSTLE		#작은모션 #소리
	샤아아	큰바람이 갑자기 세게 부는 모양을 나타내는 말	WHOOSH WHOOOOSH		#소리
	샥	가볍게 쓸리게 하거나 맞닿게 하는 소리	SWISH FWIP		#작은모션 #소리
	샥 샥	애처롭게 사정하며 간절히 바라다 (=싹싹)	BEG PLEAD RUB RUB		#행동 #모션
